"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Domain","Phylum","Class","Order","Family","Genus"
"ASV_lh4_9kb",1.20404086490118,4.04903932160787,1.1544414683017,3.50735782868614,0.000452580119279429,0.00660766974147966,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","OTU_ncd_y44"
"ASV_fgr_8yq",9.10654207484109,22.5844284336993,3.17511234634465,7.11295411631643,1.1358504984521e-12,8.29170863870031e-11,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","OTU_fgr_8yq"
"ASV_kd5_gto",3.71864811166741,5.75268817024044,1.51994228752166,3.78480697423091,0.000153827926113281,0.00294507165920997,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","OTU_acl_n7e"
"ASV_4z2_8jt",23.0536304103537,5.44195471900348,1.15353802702495,4.71762056517428,2.38618994395237e-06,0.000116127910605682,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","OTU_6mh_jhi"
"ASV_2l7_mvf",21.2485981746292,23.7926864392906,3.17373389815068,7.49674900380103,6.54200779760269e-14,9.55133138449993e-12,"Bacteria","Firmicutes","Clostridia","Christensenellales","Christensenellaceae","OTU_2l7_mvf"
"ASV_2db_0um",84.4307316605912,9.53169765214359,2.71478617552999,3.51103071691559,0.000446372816913356,0.00660766974147966,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","OTU_gt2_tpx"
"ASV_j4j_kfv",38.4008695626339,9.2813639948416,2.46002086402756,3.77288019405091,0.000161373789545752,0.00294507165920997,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","OTU_j4j_kfv"
"ASV_cgg_3uv",7.96781252699401,5.12800777125989,1.2631273566411,4.05977096790641,4.91208741137633e-05,0.00119527460343491,"Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","OTU_cgg_3uv"
"ASV_cnt_c6b",2.56390431631107,5.21413536525521,1.65197516695471,3.15630372027145,0.00159782386578872,0.0166630203146538,"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","OTU_cnt_c6b"
"ASV_avd_9fb",10.4484697272155,7.80910186859321,2.72504819212417,2.86567477638112,0.00416121500222793,0.0379710868953299,"Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","OTU_4c7_3lf"
"ASV_3ur_8h3",76.5583149893539,2.79517620409901,0.85173574999858,3.28174108472454,0.00103168288880198,0.0125521418137574,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","OTU_9qp_ahy"
"ASV_gcy_98v",19.0776257455155,5.12674348678169,1.24405682441811,4.12098819455426,3.77250758686046e-05,0.00110157221536325,"Bacteria","Proteobacteria","Gammaproteobacteria","Pasteurellales","Pasteurellaceae","OTU_33s_05v"
"ASV_g0l_pwp",16.8326516309987,7.65425342129509,2.26686382521875,3.37658280843423,0.000733922761222906,0.00974115664895857,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae","OTU_7nd_fo4"
"ASV_71w_43d",3.31249273683774,5.87571952386713,2.06639574673832,2.84346284255646,0.00446262125503908,0.0383260413668062,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","","OTU_71w_43d"
"ASV_hx2_waz",41.7124053130534,7.88236206523712,2.60280762271692,3.02840747677279,0.00245846346542435,0.023929044396797,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","OTU_534_hgg"
"ASV_bcl_c1r",48.5901011708489,-5.19811766414916,1.18149799719169,-4.39959921769194,1.08450984559146e-05,0.000395846093640884,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","OTU_l3v_8mp"
"ASV_f8c_ir4",100.277321135361,-9.42079143711314,2.92320514924608,-3.22276096138611,0.00126961456829602,0.0142587482285553,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","OTU_3os_wud"
